,y,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10_1,var_10_2,var_10_3,var_10_4,var_10_5
0,0.9856851191875544,0.3511199440584415,0.8058080255475346,0.15702539620870032,0.3164734305726776,0.4476761637619169,0.7313532317507496,0.7459779645637046,0.5926948145357116,0.907020090554718,0,0,0,1,0
1,0.9701687788213094,0.1988778613407721,0.7616377394386766,0.15198401692666708,0.6921580116865482,0.39769233032338713,0.8471513881105792,0.6241258076050276,0.6658844119436722,0.9504158599066682,0,0,0,0,1
2,0.9217982962669702,0.37713032635690513,0.7077382524295855,0.1715084855854751,0.7126821203809502,0.34920872737525843,0.8049422397221981,0.6799379247578354,0.6400034116150679,0.9257099930600717,0,1,0,0,0
3,0.70352649579253,0.7210770706254034,0.6192573588870757,0.49587635215036374,0.3401166900516941,0.18122938321464005,0.7081271769639721,0.6470969610508022,0.8227364712766982,0.8465144232388621,0,0,0,1,0
4,0.6600745001182464,0.3189952597538583,0.4997550947109034,0.16160542297060695,0.5003006056133098,0.3543858314861183,0.8370261840813005,0.651981901229125,0.5865574563876617,0.4999768972812766,0,0,1,0,0
5,0.5464008302121389,0.3551779798355693,0.442453936382483,0.49587635215036374,0.44732204051717245,0.16861199737127633,0.6223400731807369,0.4110795561474111,0.5912744602704086,0.4999768972812766,0,0,0,1,0
6,0.7809772210097261,0.457369293776924,0.641824859797594,0.49587635215036374,0.4625816717867835,0.055203771547732955,0.5725330316995818,0.7130766336687449,0.8184606399002545,0.8061984415601817,1,0,0,0,0
7,0.40576829015994753,0.09009792172823922,0.8344421223577073,0.2953497251638342,0.7563764236947998,0.24765129449635634,0.9155336297951038,0.6509076456510927,0.7009238249927336,0.7911709480579174,0,1,0,0,0
8,0.9973606022172891,0.1308501537114244,0.7846580597203504,0.49587635215036374,0.5959497248500614,0.49680142790688725,0.6511973987098545,0.34048236239442764,0.703577392728697,0.6633956470132079,1,0,0,0,0
9,0.40576829015994753,0.38778903896918204,0.8963800534373785,0.12368796108821825,0.32732265468617394,0.31051296305473125,0.7248406132602689,0.6277835779595031,0.6412404579353936,0.6694672071312386,0,0,0,0,1
10,0.9256173042581829,0.24734947949473113,0.7264882249364324,0.49587635215036374,0.4075509802990989,0.06880029017263581,0.5335587953635499,0.4777333973842234,0.8336339925169869,0.7124348674650725,0,0,1,0,0
11,0.740208703403018,0.31782532792475415,0.6081867482469336,0.12702712491760926,0.7452493329408993,0.2681533453395227,0.6175772631719652,0.5911353264289408,0.5682876478411528,0.9041143629334847,1,0,0,0,0
12,0.40576829015994753,0.2619179183478945,0.946874672684736,0.4428655352168831,0.49730791834563004,0.476732494305497,0.7500204386106555,0.7920946740269559,0.5016197767071595,0.7687951239818541,0,0,0,0,1
13,0.9242296918934987,0.3983484792820582,0.7255980982383925,0.04819245605112077,0.5748768761989352,0.13942375179974267,0.5657989734674318,0.5660615614951696,0.7004776792706437,0.7441934474416821,0,0,1,0,0
14,0.738012010976539,0.14336420230739352,0.6062781542066925,0.49587635215036374,0.4834277861514031,0.49680142790688725,0.6167900648668125,0.3614063820461339,0.7565328560708986,0.7752018025627783,1,0,0,0,0
15,0.8655041146285004,0.2594530062838711,0.7356200690462943,0.27769422342616246,0.5996674234647792,0.5006895103653572,0.7610771164196277,0.6303972307650195,0.33889859344588097,0.8664592798067385,0,0,0,1,0
16,0.606310107064905,0.14704255433567298,0.4386887103037311,0.001550690842370861,0.4645543000585774,0.2982320372340936,0.8124594511746868,0.29702973111363384,0.5340108495832493,0.4999768972812766,0,0,0,0,1
17,0.6921383142563373,0.3841628533817371,0.563579820239866,0.006455575489184462,0.5529540872064618,0.10056021831283554,0.675291648847836,0.4629730500318946,0.6069926490928628,0.8266063999952287,1,0,0,0,0
18,0.8880415777089304,0.14957273869324467,0.7017335223580818,0.25155529526684123,0.5817616623369508,0.33555836136633777,0.7942153795850792,0.5201233245587367,0.44451932504184966,0.8272715737932596,0,0,1,0,0
19,0.40576829015994753,0.3297737643371136,0.9809226935033514,0.3367026044106501,0.5606302718979467,0.3839315742602881,0.8447559461405179,0.5532566766400204,0.5446389374894092,0.6003740755092718,0,1,0,0,0
20,0.8318762388361567,0.3403875050011699,0.6618118149343858,0.49587635215036374,0.405724085261034,0.0614968932486214,0.7169028041095569,0.3621665333283559,0.8699938835930392,0.6917236196257526,0,0,1,0,0
21,0.9223742604764367,0.19034093038494215,0.7081230746214751,0.2676484693087511,0.6390541037877613,0.3516037131167468,0.7559567602744284,0.5524539443389103,0.39902470790686395,0.8108586826232714,0,1,0,0,0
22,0.6919838874140551,0.37234642317484906,0.5374453064748259,0.25274715580895757,0.5965063928613955,0.6094273851381845,0.5020690022165106,0.5838815345345195,0.5146433923997158,0.9830918050450909,0,0,1,0,0
